,Unnamed: 0,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt
1724,8242.0,2022-01-04,1,MLB10510812690,1.0,2022-01-05,1,2022-01-05,1,2022-01-05,1,2022-01-05
1725,7202.0,2022-01-10,2,MLB4778588510,1.0,2022-01-18,1,2022-01-11,1,2022-01-11,1,2022-01-11
1726,4287.0,2022-01-28,4,MLB10650303440,0.0,,0,,1,2022-01-31,1,2022-01-31
1727,5815.0,2022-01-14,2,MLB10568944720,0.0,,0,,1,2022-01-15,1,2022-01-15
1728,1014.0,2022-01-15,2,MLB10239251680,0.0,,1,2022-01-15,1,2022-01-17,1,2022-01-16
1729,5693.0,2022-01-27,4,MLB7779259240,0.0,,0,,0,,1,2022-02-13
1730,6335.0,2022-01-08,1,MLB10516363260,0.0,,1,2022-01-12,1,2022-01-12,1,2022-01-10
1731,806.0,2022-01-26,4,MLB78263680,1.0,2022-02-08,1,2022-01-03,0,,1,2022-01-27
1732,9548.0,2022-01-17,3,MLB7146369380,0.0,,1,2022-01-20,0,,1,2022-01-18
1733,3402.0,2022-01-26,4,MLB3203706600,0.0,,0,,0,,0,
1734,8163.0,2022-01-20,3,MLB10601262930,0.0,,0,,1,2022-01-21,1,2022-01-21
1735,1116.0,2022-01-03,1,MLB10405074360,1.0,2022-01-08,1,2022-01-03,1,2022-01-03,1,2022-01-04
1736,2294.0,2022-01-25,4,MLB4654316630,0.0,,0,,0,,0,
1737,8366.0,2022-01-15,2,MLB7095889390,0.0,,1,2022-01-17,0,,1,2022-01-16
1738,2718.0,2022-01-10,2,MLB2031011900,0.0,,0,,0,,0,
1739,4759.0,2022-01-07,1,MLB1896151640,0.0,,0,,0,,0,
1740,9050.0,2022-01-24,4,MLB8077506260,0.0,,0,,0,,0,
1741,10759.0,2022-01-06 00:00:00,1,MLB10418802830-1,0.0,,0,,0,,1,2022-01-05 00:00:00
1742,10742.0,2022-01-04 00:00:00,1,MLB10013988190-1,0.0,,1,2022-01-05 00:00:00,0,,1,2022-01-03 00:00:00
1743,7457.0,2022-01-31,5,MLB1196370220,0.0,,0,,1,2022-01-31,0,
1744,9526.0,2022-01-31,5,MLB10655832980,0.0,,1,2022-01-31,0,,1,2022-02-01
1745,4768.0,2022-01-02,52,MLB3200019680,0.0,,0,,0,,0,
1746,7651.0,2022-01-15,2,MLB1928563800,1.0,2022-01-21,1,2022-01-19,1,2022-01-19,1,2022-01-16
1747,1955.0,2022-01-01,52,MLB10494254580,0.0,,1,2022-01-03,1,2022-01-01,1,2022-01-03
1748,,2022-01-12,2,MLB410340182140,0.0,,1,2022-01-13,0,,1,2022-01-14
1749,6489.0,2022-01-10,2,MLB10256899020,0.0,,0,,1,2022-01-10,0,
1750,645.0,2022-01-29,4,MLB10539363410,0.0,,1,2022-01-29,1,2022-01-29,1,2022-01-30
1751,4327.0,2022-01-11,2,MLB7983952380,0.0,,1,2022-01-11,0,,1,2022-01-12
1752,9164.0,2022-01-27,4,MLB1611317540,1.0,2022-02-12,1,2022-01-27,0,,1,2022-01-28
1753,5796.0,2022-01-11,2,MLB10549920910,0.0,,1,2022-01-11,1,2022-01-11,1,2022-01-12
1754,6271.0,2022-01-13,2,MLB10562018660,0.0,,1,2022-01-13,1,2022-01-14,1,2022-01-14
1755,7743.0,2022-01-03,1,MLB3424740070,0.0,,1,2022-01-12,0,,1,2022-01-07
1756,3813.0,2022-01-10,2,MLB1737944310,0.0,,0,,0,,1,2022-01-11
1757,8144.0,2022-01-29,4,MLB10654628920,0.0,,0,,0,,0,
1758,3294.0,2022-01-27,4,MLB10639970570,0.0,,0,,0,,1,2022-01-30
1759,4473.0,2022-01-31,5,MLB10664921980,1.0,2022-02-06,1,2022-02-02,1,2022-01-31,1,2022-02-01
1760,1647.0,2022-01-26,4,MLB7640533250,0.0,,0,,1,2022-01-26,1,2022-02-02
1761,788.0,2022-01-29,4,MLB8330873600,1.0,2022-02-19,1,2022-01-29,0,,1,2022-02-02
1762,2771.0,2022-01-02,52,MLB4207188730,0.0,,0,,0,,1,2022-01-07
